"Year","Associated_tsunami","Associated_earthquake","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Deaths","Deaths_description","Missing","Missing_description","Injuries","Injuries_description","Damage_million_dollars","Damage_description","Houses_destroyed","Houses_destroyed_description"
800,0,0,"United States",61.38,-141.75,5005,"Stratovolcano","Radiocarbon","D6",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
920,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
930,0,0,"Mexico",21.125,-104.508,2280,"Stratovolcano","Historical","D3",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
934,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
950,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1000,0,0,"North Korea",41.98,128.08,2744,"Stratovolcano","Historical","D4",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1050,1,0,"Greece",36.404,25.396,329,"Shield volcano","Historical","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1151,0,0,"Iceland",63.93,-22.1,379,"Crater rows","Historical","D6",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1158,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1169,1,1,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1169,1,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1177,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1206,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1250,0,0,"Ethiopia",8.975,39.93,2007,"Stratovolcano","Historical","D3",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1262,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1280,0,0,"Ecuador",-0.85,-78.9,3914,"Caldera","Radiocarbon","D6",6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1300,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1302,0,0,"Italy",40.73,13.897,789,"Complex volcano","Historical","D6",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1311,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1311,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1329,1,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
